"","Subclone_01","Subclone_02","Subclone_03","Subclone_04","Subclone_05"
"chr1",0.362339144873391,0.83458904109589,0.62646771037182,0.925,0.816780821917808
"chr2",0.15533349581607,0.132439678284182,0.178858674837227,0.142091152815013,0.187667560321716
"chr3",0.146430053964301,0.11027397260274,0.242172211350294,0.0547945205479452,0.0530821917808219
"chr4",0.280497280497281,0.182564102564103,0.134065934065934,0.266666666666667,0.282051282051282
"chr5",0.00335369505329979,0.0276679841897233,-0.0604178430265387,0.0134387351778656,0
"chr6",-0.0688888888888889,-0.07,-0.0380952380952381,0.350666666666667,-0.111666666666667
"chr7",0.33168044077135,0.373818181818182,0.41974025974026,0.368727272727273,0.376363636363636
"chr8",0.834965034965035,1.53846153846154,1.33113553113553,1.50461538461538,1.37179487179487
"chr9",0.122340425531915,-0.424468085106383,0.0919452887537994,-0.407446808510638,-0.252659574468085
"chr10",-0.20987098709871,-0.66039603960396,-0.396039603960396,-0.650495049504951,-0.487623762376238
"chr11",0.260143810991269,0.409604519774011,0.301049233252623,0.298870056497175,0.621468926553672
"chr12",0.306060606060606,0.207741935483871,0.278801843317972,0.270967741935484,0.203225806451613
"chr13",0.0397306397306397,0,-0.266666666666667,-0.126666666666667,-0.161111111111111
"chr14",0.113878511138785,0.153424657534247,0.140247879973907,0.0849315068493151,0
"chr15",0.0526607538802661,0,-0.145470383275261,-0.14390243902439,0.246951219512195
"chr16",0.248534730016211,0.477366255144033,0.463256907701352,0.409876543209877,0.510288065843621
"chr17",-0.286174818089712,-0.765349544072948,-0.501953973078593,-0.726443768996961,-0.677811550151976
"chr18",0.0989057239057239,0,-0.0476190476190476,0,0
"chr19",-0.308467258335332,-0.155672823218997,-0.0248774971730117,-0.313984168865435,-0.372031662269129
"chr20",0.925089403350273,1.60496894409938,1.3265306122449,1.51801242236025,1.48447204968944
"chr21",-0.0101010101010101,-0.0745098039215686,-0.198879551820728,0.0941176470588235,0
"chr22",-0.315757575757576,-1,-0.586666666666667,-1,-0.626666666666667
