dataset_id,cluster,final_cell_type,cell_state,annotation_status,annotation_confidence,n_cells,n_samples,n_patients,dominant_patient,dominant_patient_fraction,dominant_sample,dominant_sample_fraction,patient_enriched,platform_confounded,suggested_cell_type,canonical_support_n,high_specific_support_n,canonical_markers_present,second_candidate,incompatible_lineage_program,n_significant_markers,manual_cell_type,manual_cell_subtype,manual_confidence,manual_notes,initial_cell_type,dominant_platform,dominant_platform_fraction
"GSE154600","B_cell__B_harmony_sample__0","B_cell","None","READY_HIGH_CONFIDENCE","High",406,5,5,"T89",0.527093596059113,"T89",0.527093596059113,FALSE,NA,"B_cell",10,4,"TNFRSF13C;BANK1;VPREB3;CD19;MS4A1;CD79A;CD79B;CD37;CD74;HLA-DRA",NA,FALSE,271,"","","","","B_cell",NA,NA
"GSE154600","B_cell__B_harmony_sample__1","B_cell","None","READY_HIGH_CONFIDENCE","High",342,4,4,"T59",0.707602339181287,"T59",0.707602339181287,FALSE,NA,"B_cell",8,3,"VPREB3;MS4A1;CD79A;BANK1;CD79B;CD37;CD74;HLA-DRA",NA,FALSE,91,"","","","","B_cell",NA,NA
"GSE154600","Endothelial__B_harmony_sample__0","Endothelial","None","READY_HIGH_CONFIDENCE","High",169,5,5,"T76",0.408284023668639,"T76",0.408284023668639,FALSE,NA,"Endothelial",10,4,"ACKR1;RAMP3;EMCN;PLVAP;RAMP2;VWF;ENG;ESAM;CLDN5;PECAM1",NA,FALSE,786,"","","","","Endothelial",NA,NA
"GSE154600","Endothelial__B_harmony_sample__1","Endothelial","None","REVIEW_PATIENT_ENRICHED","Review",160,4,4,"T76",0.8875,"T76",0.8875,TRUE,NA,"Endothelial",10,5,"CLDN5;VWF;ESAM;EMCN;KDR;PLVAP;RAMP2;PECAM1;ENG;RGCC",NA,FALSE,1114,"","","","","Endothelial",NA,NA
"GSE154600","Endothelial__B_harmony_sample__2","Endothelial","None","READY_HIGH_CONFIDENCE","High",123,5,5,"T76",0.357723577235772,"T76",0.357723577235772,FALSE,NA,"Endothelial",7,3,"PLVAP;ESAM;CLDN5;RAMP2;VWF;PECAM1;ENG",NA,FALSE,69,"","","","","Endothelial",NA,NA
"GSE154600","Endothelial__B_harmony_sample__3","Endothelial","None","READY_HIGH_CONFIDENCE","High",87,5,5,"T59",0.333333333333333,"T59",0.333333333333333,FALSE,NA,"Endothelial",11,5,"KDR;EMCN;PLVAP;CLDN5;RAMP2;ESAM;RAMP3;VWF;ENG;PECAM1;RGCC",NA,FALSE,638,"","","","","Endothelial",NA,NA
"GSE154600","Endothelial__B_harmony_sample__4","Endothelial","None","READY_HIGH_CONFIDENCE","High",14,3,3,"T59",0.785714285714286,"T59",0.785714285714286,FALSE,NA,"Endothelial",7,4,"RAMP2;CLDN5;EMCN;RAMP3;VWF;PECAM1;ENG",NA,FALSE,328,"","","","","Endothelial",NA,NA
"GSE154600","Epithelial__A_uncorrected__0","Epithelial","None","REVIEW_PATIENT_ENRICHED","Review",974,1,1,"T77",1,"T77",1,TRUE,NA,"Unresolved",1,1,"EPCAM",NA,FALSE,200,"","","","","Epithelial",NA,NA
"GSE154600","Epithelial__A_uncorrected__1","Epithelial","None","REVIEW_PATIENT_ENRICHED","Review",972,2,2,"T90",0.997942386831276,"T90",0.997942386831276,TRUE,NA,"Epithelial",7,1,"EPCAM;KRT19;CLDN4;CLDN3;KRT8;KRT18;KRT7",NA,FALSE,570,"","","","","Epithelial",NA,NA
"GSE154600","Epithelial__A_uncorrected__2","Epithelial","Cycling","REVIEW_PATIENT_ENRICHED","Review",761,1,1,"T59",1,"T59",1,TRUE,NA,"Epithelial",8,2,"KRT18;KRT8;KRT7;KRT19;EPCAM;WFDC2;MSLN;CLDN3",NA,FALSE,434,"","","","","Epithelial",NA,NA
"GSE154600","Epithelial__A_uncorrected__3","Epithelial","Cycling","REVIEW_PATIENT_ENRICHED","Review",751,1,1,"T59",1,"T59",1,TRUE,NA,"Epithelial",11,3,"MSLN;EPCAM;KRT18;KRT7;MUC1;WFDC2;KRT8;KRT19;CLDN3;PAX8;CLDN4",NA,FALSE,1630,"","","","","Epithelial",NA,NA
"GSE154600","Epithelial__A_uncorrected__4","Epithelial","None","REVIEW_PATIENT_ENRICHED","Review",447,1,1,"T77",1,"T77",1,TRUE,NA,"Epithelial",5,2,"PAX8;EPCAM;KRT19;CLDN4;CLDN3",NA,FALSE,936,"","","","","Epithelial",NA,NA
"GSE154600","Epithelial__A_uncorrected__5","Epithelial","None","REVIEW_PATIENT_ENRICHED","Review",320,1,1,"T77",1,"T77",1,TRUE,NA,"Epithelial",4,2,"PAX8;EPCAM;CLDN3;KRT19",NA,FALSE,985,"","","","","Epithelial",NA,NA
"GSE154600","Epithelial__A_uncorrected__6","Epithelial","Cycling","REVIEW_PATIENT_ENRICHED","Review",230,1,1,"T77",1,"T77",1,TRUE,NA,"Epithelial",4,2,"PAX8;EPCAM;CLDN3;KRT19",NA,FALSE,722,"","","","","Epithelial",NA,NA
"GSE154600","Epithelial__A_uncorrected__7","Epithelial","Stress_response","REVIEW_PATIENT_ENRICHED","Review",179,2,2,"T77",0.988826815642458,"T77",0.988826815642458,TRUE,NA,"Epithelial",5,2,"PAX8;CLDN4;MSLN;EPCAM;CLDN3",NA,FALSE,458,"","","","","Epithelial",NA,NA
"GSE154600","Epithelial__A_uncorrected__8","Epithelial","None","REVIEW_PATIENT_ENRICHED","Review",179,1,1,"T89",1,"T89",1,TRUE,NA,"Epithelial",7,2,"WFDC2;PAX8;KRT7;CLDN3;KRT18;KRT8;KRT19",NA,FALSE,310,"","","","","Epithelial",NA,NA
"GSE154600","Epithelial__A_uncorrected__9","Epithelial","None","REVIEW_PATIENT_ENRICHED","Review",130,4,4,"T76",0.961538461538461,"T76",0.961538461538461,TRUE,NA,"Epithelial",10,2,"WFDC2;CLDN4;CLDN3;MUC1;KRT7;MSLN;EPCAM;KRT19;KRT18;KRT8",NA,FALSE,315,"","","","","Epithelial",NA,NA
"GSE154600","Erythroid__A_uncorrected__0","Erythroid","None","READY_HIGH_CONFIDENCE","High",54,5,5,"T76",0.777777777777778,"T76",0.777777777777778,FALSE,NA,"Erythroid",4,4,"HBB;HBA1;HBA2;ALAS2",NA,FALSE,5,"","","","","Erythroid",NA,NA
"GSE154600","Erythroid__A_uncorrected__1","Erythroid","None","READY_HIGH_CONFIDENCE","High",18,4,4,"T76",0.722222222222222,"T76",0.722222222222222,FALSE,NA,"Erythroid",3,3,"HBB;HBA2;HBA1",NA,FALSE,4,"","","","","Erythroid",NA,NA
"GSE154600","Fibroblast__A_uncorrected__0","Fibroblast","Stress_response","REVIEW_PATIENT_ENRICHED","Review",1543,2,2,"T76",0.999351911860013,"T76",0.999351911860013,TRUE,NA,"Fibroblast",10,4,"DCN;COL1A1;COL1A2;LUM;COL3A1;CTHRC1;FAP;COL6A1;COL6A2;POSTN",NA,FALSE,908,"","","","","Fibroblast",NA,NA
"GSE154600","Fibroblast__A_uncorrected__1","Fibroblast","Stress_response","REVIEW_PATIENT_ENRICHED","Review",776,4,4,"T59",0.985824742268041,"T59",0.985824742268041,TRUE,NA,"Fibroblast",11,4,"CTHRC1;FAP;PDGFRA;LUM;POSTN;COL3A1;DCN;COL1A2;COL1A1;COL6A2;COL6A1",NA,FALSE,1310,"","","","","Fibroblast",NA,NA
"GSE154600","Fibroblast__A_uncorrected__2","Fibroblast","Hypoxia;Stress_response","REVIEW_PATIENT_ENRICHED","Review",606,2,2,"T76",0.986798679867987,"T76",0.986798679867987,TRUE,NA,"Fibroblast",10,4,"COL6A2;COL6A1;DCN;FAP;COL1A2;COL1A1;COL3A1;CTHRC1;POSTN;LUM",NA,FALSE,775,"","","","","Fibroblast",NA,NA
"GSE154600","Fibroblast__A_uncorrected__3","Fibroblast","Stress_response","REVIEW_PATIENT_ENRICHED","Review",509,5,5,"T76",0.972495088408644,"T76",0.972495088408644,TRUE,NA,"Fibroblast",10,4,"COL1A1;COL1A2;COL6A1;COL6A2;COL3A1;FAP;POSTN;LUM;DCN;CTHRC1",NA,FALSE,203,"","","","","Fibroblast",NA,NA
