dataset_id,lineage,strategy,cluster,n_cells,n_samples,dominant_sample,dominant_sample_n,dominant_sample_fraction,normalized_shannon_entropy,simpson_diversity,effective_sample_number,dominance_label
"GSE154600","Epithelial_like","A_uncorrected","4",461,4,"T59",441,0.956616052060738,0.133722232032144,0.0840105213131879,1.0917155963774,"strong_sample_dominance"
"GSE154600","Epithelial_like","A_uncorrected","2",709,2,"T59",708,0.998589562764457,0.00662799618544434,0.00281689580469524,1.0028248531216,"strong_sample_dominance"
"GSE154600","Epithelial_like","A_uncorrected","11",44,2,"T59",43,0.977272727272727,0.0673970323414744,0.0444214876033058,1.04648648648649,"moderate_sample_dominance"
"GSE154600","Epithelial_like","A_uncorrected","3",707,2,"T59",705,0.997171145685997,0.012068956925173,0.00564170379454598,1.00567371320386,"strong_sample_dominance"
"GSE154600","Epithelial_like","A_uncorrected","10",98,3,"T59",96,0.979591836734694,0.0706888096862664,0.0401915868388172,1.04187459318724,"moderate_sample_dominance"
"GSE154600","Epithelial_like","A_uncorrected","6",219,4,"T76",203,0.926940639269406,0.209830000397787,0.1388211254978,1.16119894438661,"strong_sample_dominance"
"GSE154600","Epithelial_like","A_uncorrected","0",788,3,"T90",785,0.996192893401015,0.0170445119558826,0.00759166688139346,1.00764974116807,"strong_sample_dominance"
"GSE154600","Epithelial_like","A_uncorrected","9",116,2,"T77",115,0.991379310344828,0.0307950059295128,0.0170927467300832,1.01738998941479,"strong_sample_dominance"
"GSE154600","Epithelial_like","A_uncorrected","1",779,1,"T77",779,1,0,0,1,"strong_sample_dominance"
"GSE154600","Epithelial_like","A_uncorrected","8",124,1,"T77",124,1,0,0,1,"strong_sample_dominance"
"GSE154600","Epithelial_like","A_uncorrected","5",299,1,"T77",299,1,0,0,1,"strong_sample_dominance"
"GSE154600","Epithelial_like","A_uncorrected","7",168,1,"T89",168,1,0,0,1,"strong_sample_dominance"
