dataset_id,old_parent_broad_type,old_cluster,suggested_broad_cell_type,refined_broad_family,n_cells,reference_eligible,exclusion_reason
"GSE158722","Epithelial","Epithelial__A_uncorrected__0","Epithelial","Epithelial",2886,TRUE,""
"GSE158722","Epithelial","Epithelial__A_uncorrected__1","Ambiguous",NA,1628,FALSE,"ambiguous_or_mixed"
"GSE158722","Epithelial","Epithelial__A_uncorrected__10","Epithelial","Epithelial",868,TRUE,""
"GSE158722","Epithelial","Epithelial__A_uncorrected__11","Epithelial","Epithelial",838,TRUE,""
"GSE158722","Epithelial","Epithelial__A_uncorrected__12","Epithelial","Epithelial",788,TRUE,""
"GSE158722","Epithelial","Epithelial__A_uncorrected__13","Epithelial","Epithelial",783,TRUE,""
"GSE158722","Epithelial","Epithelial__A_uncorrected__14","Epithelial","Epithelial",730,TRUE,""
"GSE158722","Epithelial","Epithelial__A_uncorrected__15","Epithelial","Epithelial",698,TRUE,""
"GSE158722","Epithelial","Epithelial__A_uncorrected__16","Epithelial","Epithelial",692,TRUE,""
"GSE158722","Epithelial","Epithelial__A_uncorrected__17","Epithelial","Epithelial",688,TRUE,""
"GSE158722","Epithelial","Epithelial__A_uncorrected__18","Epithelial","Epithelial",446,TRUE,""
"GSE158722","Epithelial","Epithelial__A_uncorrected__19","Epithelial","Epithelial",436,TRUE,""
"GSE158722","Epithelial","Epithelial__A_uncorrected__2","Epithelial","Epithelial",1306,TRUE,""
"GSE158722","Epithelial","Epithelial__A_uncorrected__20","Epithelial","Epithelial",352,TRUE,""
"GSE158722","Epithelial","Epithelial__A_uncorrected__21","Epithelial","Epithelial",290,TRUE,""
"GSE158722","Epithelial","Epithelial__A_uncorrected__22","Epithelial","Epithelial",173,TRUE,""
"GSE158722","Epithelial","Epithelial__A_uncorrected__23","Mixed_or_doublet",NA,120,FALSE,"lineage_conflict"
"GSE158722","Epithelial","Epithelial__A_uncorrected__3","Mixed_or_doublet",NA,1268,FALSE,"lineage_conflict"
"GSE158722","Epithelial","Epithelial__A_uncorrected__4","Ambiguous",NA,1139,FALSE,"ambiguous_or_mixed"
"GSE158722","Epithelial","Epithelial__A_uncorrected__5","Epithelial","Epithelial",1093,TRUE,""
"GSE158722","Epithelial","Epithelial__A_uncorrected__6","Epithelial","Epithelial",991,TRUE,""
"GSE158722","Epithelial","Epithelial__A_uncorrected__7","Epithelial","Epithelial",948,TRUE,""
"GSE158722","Epithelial","Epithelial__A_uncorrected__8","Epithelial","Epithelial",922,TRUE,""
"GSE158722","Epithelial","Epithelial__A_uncorrected__9","Epithelial","Epithelial",895,TRUE,""
"GSE158722","Myeloid","Myeloid__A_uncorrected__0","Myeloid","Myeloid",535,TRUE,""
"GSE158722","Myeloid","Myeloid__A_uncorrected__1","Myeloid","Myeloid",474,TRUE,""
"GSE158722","Myeloid","Myeloid__A_uncorrected__2","Epithelial","Epithelial",280,FALSE,"lineage_conflict"
"GSE158722","Myeloid","Myeloid__A_uncorrected__3","Epithelial","Epithelial",145,FALSE,"lineage_conflict"
"GSE158722","Myeloid","Myeloid__A_uncorrected__4","B_cell","B_Plasma",141,FALSE,"lineage_conflict"
"GSE158722","Myeloid","Myeloid__A_uncorrected__5","Epithelial","Epithelial",97,FALSE,"lineage_conflict"
"GSE158722","Myeloid","Myeloid__A_uncorrected__6","Epithelial","Epithelial",81,FALSE,"lineage_conflict"
"GSE158722","Myeloid","Myeloid__A_uncorrected__7","Myeloid","Myeloid",41,TRUE,""
"GSE158722","Fibroblast","Fibroblast__A_uncorrected__0","Fibroblast","Fibroblast",756,TRUE,""
"GSE158722","Fibroblast","Fibroblast__A_uncorrected__1","Mixed_or_doublet",NA,627,FALSE,"lineage_conflict"
"GSE158722","Fibroblast","Fibroblast__A_uncorrected__2","Fibroblast","Fibroblast",334,TRUE,""
"GSE158722","Fibroblast","Fibroblast__A_uncorrected__3","Epithelial","Epithelial",283,FALSE,"lineage_conflict"
"GSE158722","Fibroblast","Fibroblast__A_uncorrected__4","Ambiguous",NA,257,FALSE,"ambiguous_or_mixed"
"GSE158722","Fibroblast","Fibroblast__A_uncorrected__5","Epithelial","Epithelial",213,FALSE,"lineage_conflict"
"GSE158722","Fibroblast","Fibroblast__A_uncorrected__6","Ambiguous",NA,120,FALSE,"ambiguous_or_mixed"
"GSE158722","Fibroblast","Fibroblast__A_uncorrected__7","Ambiguous",NA,39,FALSE,"ambiguous_or_mixed"
"GSE158722","Fibroblast","Fibroblast__A_uncorrected__8","Endothelial","Endothelial",24,FALSE,"lineage_conflict"
"GSE158722","T_cell","T_cell__A_uncorrected__0","B_cell","B_Plasma",371,FALSE,"lineage_conflict"
"GSE158722","T_cell","T_cell__A_uncorrected__1","NK_cell","T_NK",211,TRUE,""
"GSE158722","T_cell","T_cell__A_uncorrected__2","NK_cell","T_NK",204,TRUE,""
"GSE158722","T_cell","T_cell__A_uncorrected__3","T_cell","T_NK",184,TRUE,""
"GSE158722","T_cell","T_cell__A_uncorrected__4","Ambiguous",NA,177,FALSE,"ambiguous_or_mixed"
"GSE158722","T_cell","T_cell__A_uncorrected__5","Epithelial","Epithelial",59,FALSE,"lineage_conflict"
"GSE158722","T_cell","T_cell__A_uncorrected__6","B_cell","B_Plasma",26,FALSE,"lineage_conflict"
